Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
1998, IDA only,,2.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999, IDA only,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000, IDA only,,2.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001, IDA only,,2.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, IDA only,,3.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003, IDA only,,3.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004, IDA only,,3.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005, IDA only,,3.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006, IDA only,,3.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007, IDA only,,3.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008, IDA only,,3.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009, IDA only,,4.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010, IDA only,,4.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011, IDA only,,4.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, IDA only,,5.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013, IDA only,,5.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, IDA only,,5.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015, IDA only,,5.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016, IDA only,,5.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017, IDA only,,5.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018, IDA only,,5.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.263,,,,95002,,,,
1960, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,5000,,,,
1965, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,,,,250880,,,,
1970, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.053,,,,351489,,,,
1975, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.319,,,,-24999,,,,
1980, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.444,,,,-210000,,,,
1985, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.656,,,,-61001,,,,
1990, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,,,,80000,,,,
1995, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.434,,,,-150001,,,,
2000, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.308,,,,-249999,,,,
2005, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.836,,,,205000,,,,
2010, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.179,,,,250002,,,,
2012, Taiwan,,,,,,,,,,,,,,12496,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013, Taiwan,,,,,,,,,,,,,,12935,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, Taiwan,,,,,,,,,,,,,,21970,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015, Taiwan,,,,,,,,,,,,,,24838,,,,,,,,,,,,,,,,,,,1.455,,,,169999,,,,
2016, Taiwan,,,,,,,,,,,,,,24159,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017, Taiwan,,,,,,,,,,,,,,24907,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018, Taiwan,,,,,,,,,,,,,,20186,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019, Taiwan,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,
2020, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.267,,,,150004,,,,
1955, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,,,,10017,,,,
1960, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,,,,10017,,,,
1965, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462,,,,25040,,,,
1970, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573,,,,36058,,,,
1975, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.634,,,,120202,,,,
1980, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.291,,,,-25040,,,,
1985, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349,,,,35062,,,,
1990, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,,,,68117,,,,
1995, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.259,,,,584095,,,,
2000, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.538,,,,-400706,,,,
2005, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.671,,,,-300523,,,,
2010, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42,,,,-500853,,,,
2015, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.045,,,,-250435,,,,
2020, Tanzania,,,,,91000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.721,,,,-200381,,,,
2016,Abyei Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36779,,,,,,,,,,,,
2017,Abyei Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38984,,,,,,,,,,,,
2018,Abyei Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26384,,,,,,,,,,,,
2019,Abyei Area,,,,,,,,,,,,,,,,,,,,,,26000,,,,,,,,,,,,,,,,,,,
1955,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.499,,,,-20000,,,,
1960,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.463,,,,-20000,,,,
1965,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.422,,,,-20000,,,,
1970,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.379,,,,-20000,,,,
1975,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.335,,,,-20000,,,,
1980,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.722,,,,-1153959,,,,
1981,Afghanistan,,,,,,,,,,,,,,,,,,,232.557,,3063170,,,,,,,,,,,,,,,,,,,,
1982,Afghanistan,,,,,,1921,,,,,,,,,,,,,298.599,,3846701,,,,,,,,,,14.918,,,,,,,,,,
1983,Afghanistan,,,,,,2407,,,,,,,,,,,,,353.362,,4430355,,,,,,,,,,19.201,,,,,,,,,,
1984,Afghanistan,,,,,,2975,,,,,,,,,,,,,382.915,,4673215,,,,,,,,,,24.383,,,,,,,,,,
1985,Afghanistan,,,,,,2875,,,,,,,,,,,,,408.598,,4877920,,,,,,,,,,24.089,,-52.898,,,,-3345095,,,,
1986,Afghanistan,,,,,,2907,,,,,,,,,,,,,431.143,,5059969,,,,,,,,,,24.77,,,,,,,,,,
1987,Afghanistan,,,,,,3002,,,,,,,,,,,,,457.169,,5305237,,,,,,,,,,25.869,,,,,,,,,,
1988,Afghanistan,,,,,,3021,,,,,,,,,,,,,485.661,,5642417,,,,,,,,,,26.004,,,,,,,,,,
1989,Afghanistan,,,,,,2957,,,,,,,,,,,,,495.82,,5884821,,,,,,,,,,24.919,,,,,,,,,,
1990,Afghanistan,,,,25,,2680,17363,,1.399,,,,,,,,,0.002,458.65,,5692904,,7679582,,,,0.465,57686,,,21.593,,-25.057,,11993,0.966,-1525351,,,61.871,
1991,Afghanistan,,,,,,2528,,,,,,,,,,,,,394.256,,5243222,,,,,,,,,,19.012,,,,,,,,,,
1992,Afghanistan,,,,,,2136,,,,,22275,,,,,,,,321.745,,4660658,,,,,,,,,,14.748,,,,,,,,,,1.538
1993,Afghanistan,,,,,,1899,,,,,26186,,,,,,,,248.389,,3928665,,,,,,,,,,12.006,,,,,,,,,,1.656
1994,Afghanistan,,,,,,1730,,,,,29934,,,,,,,,187.532,,3202252,,,,,,,,,,10.131,,,,,,,,,,1.753
1995,Afghanistan,,,13836,19605,,1611,20802,,1.149,0.764,17930,,,,,-3332533,,1.083,156.105,,2827156,,4347049,,,,0.395,71522,,,8.895,,40.316,,14421,0.796,3076383,,-184.009,24.003,0.99
1996,Afghanistan,,,,,,1527,,,,,11506,,,,,,,,142.45,,2685665,,,,,,,,,,8.1,,,,,,,,,,0.61
1997,Afghanistan,,,,,,2035,,,,,7684,,,,,,,,137.405,,2659769,,,,,,,,,,10.514,,,,,,,,,,0.397
1998,Afghanistan,,,,,,2877,,,,,,,,,,,,,143.958,,2841408,,,,,,,,,,14.58,,,,,,,,,,
1999,Afghanistan,,,,,,4101,,,,,,,,,,,,,152.126,,3068514,,,,,,,,,,20.333,,,,,,,,,,
2000,Afghanistan,,,4395,,,4974,21495,,1.034,0.212,,,,,,403628,,,146.066,,3035238,,4750677,,,,0.365,75917,,,23.939,,-8.923,,14946,0.719,-867540,,19.424,22.862,
2001,Afghanistan,,,,,,5784,,,,,3769,,,,,,,,135.559,,2929022,,,,,,,,,,26.77,,,,,,,,,,0.174
2002,Afghanistan,,,,,,6166,,124.819,,,,,,,,,,,127.941,,2891576,,,,,28210,,,,,27.282,,,,,,,,,,
2003,Afghanistan,,,,,,6191,,96.942,,,20,,,,,,,,110.103,,2607339,,,,,22956,,,,,26.146,,,,,,,,,,0.001
2004,Afghanistan,,,,,,5731,,80.043,,,26,,,,26,,,,91.678,,2266888,,,,,19792,,,,0.108,23.179,,,,,,,,,,0.001
2005,Afghanistan,,,11397,46,,5287,24578,68.877,0.958,0.444,32,,,,25,-633938,,0.002,92.63,,2376360,,4116739,,,17670,0.34,87314,,0.098,20.61,,6.411,,17072,0.665,744193,,-24.711,16.047,0.001
2006,Afghanistan,,,,,,4742,,64.479,,,35,,,,13,,,,95.175,,2515776,,,,,17043,,,,0.052,17.942,,,,,,,,,,0.001
2007,Afghanistan,,0.404,,,,4259,,72.797,,,36,,,,,,,,96.319,,2610307,,,,,19728,,,,,15.716,,,,,,,,,,0.001
2008,Afghanistan,,0.881,,,,3653,,87.814,,,1316,,,,14,,,,100.57,,2788019,,,,,24344,,,,0.051,13.179,,,,,,,,,,0.047
2009,Afghanistan,,1.082,,,,3167,,102.807,,,1912,,,,22,,,,102.11,,2899401,,,,,29191,,,,0.078,11.155,,,,,,,,,,0.067
2010,Afghanistan,,1.302,14962,6464,,2978,28740,131.7,0.985,0.513,5140,,,27076,31,1152779,,0.221,96.113,,2805097,,5269518,,,38437,0.35,102276,,0.106,10.204,0.093,-7.632,,19948,0.683,-1046361,,39.498,18.055,0.176
2011,Afghanistan,,1.47,,,,3262,,162.227,,,8505,,,29424,41,,0.34,,91.302,,2749770,,,102480,1.476,48858,,,444400,0.137,10.832,0.098,,,,,,,,,0.282
2012,Afghanistan,,1.491,,,,3497,,192.093,,,68582,,,26362,50,,0.429,,86.376,,2691599,,,133718,1.752,59858,,,546081,0.161,11.224,0.085,,,,,,,,,2.201
2013,Afghanistan,,1.378,,,,3856,,322.939,,,118806,,,26352,59,,0.559,,81.003,,2613918,,,180400,2.202,104211,,,710543,0.185,11.951,0.082,,,,,,,,,3.682
2014,Afghanistan,,1.87,,,,4421,,509.984,,,130157,,,27231,74,,0.82,,77.353,,2581323,,,273719,2.79,170185,,,931084,0.222,13.248,0.082,,,,,,,,,3.9
2015,Afghanistan,,2.527,237156,257636,,4682,149719,652.423,4.351,6.891,142106,,,26701,107,131398,1.012,7.486,75.23,,2588949,,5400916,348417,3.167,224522,0.986,339432,1089981,0.312,13.606,0.078,3.282,,123306,3.583,521769,,3.818,15.694,4.129
2016,Afghanistan,,3.072,,,,4510,,767.28,,,153179,,,110757,151,,1.125,,73.875,,2613906,,,397973,4.192,271486,,,1483360,0.427,12.748,0.313,,,,,,,,,4.329
2017,Afghanistan,,3.706,,,,4821,,841.562,,,107541,,,131443,188,,1.264,,72.74,,2640165,,,458873,5.292,305454,,,1920955,0.52,13.282,0.362,,,,,,,,,2.963
2018,Afghanistan,,4.126,,,,4161,,810.935,,,70486,,,126423,206,,1.271,,70.641,,2625872,,,472619,6.444,301440,,,2395465,0.556,11.194,0.34,,9.448,,,,,,,1.896
2019,Afghanistan,,,,,,3319,,717.35,,,72977,,3.149,,219,,,,69.597,,2647596,1198000,,,,272892,,,,0.577,8.727,,,,,,,,,,1.918
2020,Afghanistan,,,-195334,72479,54000,,59649,,1.532,-5.018,,,2.869,,,452922,,1.862,,1.387,,1117000,5853838,,,,0.37,144098,,,,,-1.716,,46739,1.201,-314602,,11.635,15.037,
1955,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.507,,,,-609683,,,,
1960,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.549,,,,-736133,,,,
1965,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.687,,,,-1036680,,,,
1970,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.768,,,,-1312622,,,,
1975,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.989,,,,-1924009,,,,
1980,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.718,,,,-1600442,,,,
1985,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.811,,,,-2078952,,,,
1990,Africa,,,,5697283,,,5623048,,,,,,,,,,,,,,,,20621464,,,,,15689666,,,,,-0.606,,4106698,,-1784980,,,,
1995,Africa,,,667411,5952996,,,5517465,,,,,,,,,1719930,,,,,,,22341394,,,,,16357077,,,,,-0.406,,3975063,,-1368269,,,,
2000,Africa,,,-1305400,3698535,,,4793677,,,,,,,,,-261391,,,,,,,22080003,,,,,15051677,,,,,-0.645,,3427175,,-2464494,,,,
2005,Africa,,,988410,3019945,,,4887984,,,,,,,,,3161403,,,,,,,25241406,,,,,16040087,,,,,-0.581,,3568688,,-2508171,,,,
2010,Africa,,,1766590,2738284,,,5154765,,,,,,,,,3952446,,,,,,,29193852,,,,,17806677,,,,,-0.754,,3694026,,-3687038,,,,
2015,Africa,,,5054115,6178774,,,6270257,,,,,,,,,5918107,,,,,,,35111959,,,,,22860792,,,,,-0.767,,4616829,,-4261285,,,,
2020,Africa,,,2528672,7448261,,,6943648,,,,,,,,,5455204,,,,,,,40567163,,,,,25389464,,,,,-0.367,,5174447,,-2315121,,,,
1979,Africa Eastern and Southern,,0.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,Africa Eastern and Southern,,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Africa Eastern and Southern,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Africa Eastern and Southern,,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Africa Eastern and Southern,,1.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Africa Eastern and Southern,,1.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Africa Eastern and Southern,,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Africa Eastern and Southern,,0.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Africa Eastern and Southern,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Africa Eastern and Southern,,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Africa Eastern and Southern,,0.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Africa Eastern and Southern,,0.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Africa Eastern and Southern,,0.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Africa Eastern and Southern,,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Africa Eastern and Southern,,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Africa Eastern and Southern,,0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Africa Eastern and Southern,,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Africa Eastern and Southern,,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Africa Eastern and Southern,,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Africa Eastern and Southern,,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Africa Eastern and Southern,,1.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Africa Eastern and Southern,,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Africa Eastern and Southern,,1.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Africa Eastern and Southern,,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Africa Eastern and Southern,,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Africa Eastern and Southern,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Africa Eastern and Southern,,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Africa Eastern and Southern,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Africa Eastern and Southern,,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Africa Eastern and Southern,,0.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Africa Eastern and Southern,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Africa Eastern and Southern,,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Africa Eastern and Southern,,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Africa Eastern and Southern,,1.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Africa Eastern and Southern,,1.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Africa Eastern and Southern,,1.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Africa Eastern and Southern,,1.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Africa Eastern and Southern,,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Africa Eastern and Southern,,1.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Africa Eastern and Southern,,1.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Africa Western and Central,,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,Africa Western and Central,,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Africa Western and Central,,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Africa Western and Central,,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Africa Western and Central,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Africa Western and Central,,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
