Country,YEAR,GDP,Inflation,CPI
Burkina Faso,2001,975.619753,5.007432908,78.6665734
Bangladesh,2001,1402.34841,2.007173742,54.9911943
Bulgaria,2001,6958.97842,7.360939272,60.2309866
Bahrain,2001,42071.2467,-1.2075718,82.4309225
"Bahamas, The",2001,28940.8435,2.044989775,81.6450156
Bosnia and Herzegovina,2001,4791.89578,,
Belarus,2001,6244.74774,61.13493316,25.8631327
Belize,2001,5771.58638,,
Bermuda,2001,58484.1524,,
Bolivia,2001,3502.79354,1.589653779,63.6259741
Brazil,2001,9255.63476,6.840359025,56.1249316
Barbados,2001,12626.5231,2.577834904,69.0286172
Brunei Darussalam,2001,68312.0412,0.595890411,95.5251185
Bhutan,2001,2921.49606,3.410404624,83.377743
Botswana,2001,8502.28458,6.55903767,46.9227499
Central African Republic,2001,703.832164,3.834860602,75.3195896
Canada,2001,30230.803,2.52512014,83.9582141
Central Europe and the Baltics,2001,10798.7033,5.748279817,
Switzerland,2001,37896.697,0.98902033,92.6568953
Channel Islands,2001,,,
Chile,2001,10037.6659,3.56910053,76.3028101
China,2001,3208.22996,0.719125609,81.5522985
Cote d'Ivoire,2001,3194.42066,4.36152914,78.5082569
Cameroon,2001,2105.4665,4.419772459,81.0446389
"Congo, Dem. Rep.",2001,434.835252,359.9366143,31.2698876
"Congo, Rep.",2001,3811.63359,0.055989922,75.8783498
Colombia,2001,6839.94527,7.969702931,62.855474
Comoros,2001,1836.86007,5.554593948,72.9851739
Cabo Verde,2001,3111.43522,3.349964723,81.3002968
Costa Rica,2001,8138.15822,11.25561571,41.5623666
Caribbean small states,2001,9865.3246,2.602624023,
Cuba,2001,,,
Curacao,2001,23054.7042,1.792828685,78.2199869
Cayman Islands,2001,,,
Cyprus,2001,22861.8848,1.973041917,79.0410828
Czech Republic,2001,17621.0541,4.66267557,81.4459774
Germany,2001,28368.5433,1.983856936,87.3989508
Djibouti,2001,,1.74665225,71.2961884
Dominica,2001,6649.27593,1.303894035,81.4481751
Denmark,2001,29437.3103,2.337870003,83.5907508
Dominican Republic,2001,6969.67709,8.883068488,34.6753758
Algeria,2001,8770.2535,4.225988349,73.4148351
East Asia & Pacific (excluding high income),2001,3570.13337,4.272670245,
Early-demographic dividend,2001,4275.99836,3.765056849,
East Asia & Pacific,2001,6078.83593,3.577554521,
Europe & Central Asia (excluding high income),2001,6572.21013,8.354137772,
Europe & Central Asia,2001,16756.3056,4.262872289,
Ecuador,2001,6090.97348,37.67802094,62.7725151
"Egypt, Arab Rep.",2001,6011.76132,2.269757205,46.100001
Euro area,2001,26494.3699,2.785165427,
Eritrea,2001,1639.08923,,
Spain,2001,22949.1819,3.589834133,78.6513735
Estonia,2001,10314.2628,5.748279817,70.2705277
Ethiopia,2001,518.983816,-8.23784453,34.4863643
European Union,2001,23167.7141,3.373968322,
Fragile and conflict affected situations,2001,2790.88999,5.187011919,
Finland,2001,27795.6749,2.578440801,88.3041301
Fiji,2001,6058.89394,4.272670245,73.1400702
France,2001,27490.0517,1.634780795,85.7687096
Faroe Islands,2001,,,
"Micronesia, Fed. Sts.",2001,2603.3343,0.502497351,72.7843769
Gabon,2001,14109.8729,2.137620527,83.3317924
United Kingdom,2001,27807.1693,1.532349603,82.7168485
Georgia,2001,3375.17909,4.646044421,57.4543503
Ghana,2001,1836.23088,41.50949629,27.181639
Gibraltar,2001,,,
Guinea,2001,1269.09221,,
"Gambia, The",2001,2003.62654,4.492596092,53.2610916
Guinea-Bissau,2001,1095.86923,3.348122655,81.0133572
Equatorial Guinea,2001,13800.3688,8.825389259,60.9478499
Greece,2001,20954.7819,3.373968322,74.6373378
Grenada,2001,7616.57383,3.140993052,75.848085
Greenland,2001,,,
Guatemala,2001,4860.75067,7.285873666,55.6370655
Guam,2001,,,
Guyana,2001,6295.56392,2.627413142,57.9193884
High income,2001,28491.9906,2.578440801,
"Hong Kong SAR, China",2001,28805.7166,-1.65816327,94.3062885
Honduras,2001,2647.34352,9.674155569,52.7703092
Heavily indebted poor countries (HIPC),2001,1355.35348,4.60374622,
Croatia,2001,11655.6441,3.776702467,78.6775233
Haiti,2001,2189.99913,13.31672224,36.560077
Hungary,2001,13207.9222,9.116809117,63.1535555
IBRD only,2001,4686.30061,5.619276723,
IDA & IBRD total,2001,4056.69276,5.147468002,
IDA total,2001,1762.1845,4.36152914,
IDA blend,2001,2654.32433,3.811317484,
Indonesia,2001,4953.61359,11.50011488,49.0779329
IDA only,2001,1316.31811,4.492596092,
Isle of Man,2001,,,
India,2001,2205.22504,3.779293122,56.3919261
Not classified,2001,,,
Ireland,2001,32567.2822,4.872904873,82.1779595
"Iran, Islamic Rep.",2001,11227.0006,11.27424713,28.5034034
Iraq,2001,11156.339,16.3740815,21.1318818
Iceland,2001,31876.0271,6.405085504,58.2374745
Israel,2001,24944.6317,1.15350488,81.7643895
Italy,2001,28033.7359,2.785165427,82.9586784
Jamaica,2001,6529.75204,6.801909308,36.3574814
Jordan,2001,6267.61848,1.772204374,68.4269451
Japan,2001,27942.3467,-0.7400555,101.907818
Kazakhstan,2001,8980.67439,8.354137772,47.4475238
Kenya,2001,1887.45373,5.738598143,40.2735823
Kyrgyz Republic,2001,1985.93022,6.919679894,52.3766384
Cambodia,2001,1163.93507,-0.6006483,60.6290364
Kiribati,2001,1557.82173,,
St. Kitts and Nevis,2001,16655.4824,2.303447483,73.7710743
"Korea, Rep.",2001,19724.4259,4.066575879,76.0878249
Kuwait,2001,55912.3464,1.3,70.8526988
Latin America & Caribbean (excluding high income),2001,8539.12525,6.801909308,
Lao PDR,2001,1947.31489,7.811807948,51.905242
Lebanon,2001,9141.8567,,
Liberia,2001,1006.97122,,41.0286646
Libya,2001,20181.4415,-8.81393752,90.0966505
St. Lucia,2001,9056.99793,5.30722081,82.1674713
Latin America & Caribbean,2001,8820.63497,4.359340652,
Least developed countries: UN classification,2001,1284.11068,4.714896347,
Low income,2001,1051.34755,4.492596092,
Liechtenstein,2001,,,
Sri Lanka,2001,4332.96463,14.1584558,41.6450378
Lower middle income,2001,3044.69296,4.419772459,
Low & middle income,2001,3907.70872,5.167239961,
Lesotho,2001,1326.8415,-9.61615354,45.8112821
Late-demographic dividend,2001,5111.64867,4.646044421,
Lithuania,2001,9436.05411,1.367120308,75.4216766
Luxembourg,2001,56125.2294,2.663821106,82.1856839
Latvia,2001,9044.54639,2.487040036,60.6444867
"Macao SAR, China",2001,35883.7117,-1.98465009,78.9250837
St. Martin (French part),2001,,,
Morocco,2001,3876.14063,0.619801875,84.168216
Monaco,2001,,,
Moldova,2001,3349.2366,9.764662858,43.9390637
Madagascar,2001,1360.06369,7.916944845,40.7374652
Maldives,2001,8100.13346,0.67257737,71.5615076
Middle East & North Africa,2001,11688.1773,1.74665225,
Mexico,2001,11136.0219,6.367738062,67.3444059
Marshall Islands,2001,2604.84857,,
Middle income,2001,4160.69619,5.30722081,
North Macedonia,2001,6049.91562,5.198885257,84.0601782
Mali,2001,1298.39308,5.187011919,80.370584
Malta,2001,18510.5985,2.929492443,81.1463401
Myanmar,2001,938.566609,21.10130538,18.1546756
Middle East & North Africa (excluding high income),2001,7529.18628,2.126545269,
Montenegro,2001,6770.28792,,
Mongolia,2001,3885.46215,6.277360205,44.2477409
Northern Mariana Islands,2001,,,
Mozambique,2001,532.254683,,
Mauritania,2001,2998.91133,4.714896347,55.659353
Mauritius,2001,9453.98851,5.389344262,59.959629
Malawi,2001,914.206178,22.7,39.7023135
Malaysia,2001,12969.4823,1.416784732,81.6600567
North America,2001,36460.3258,2.675645629,
Namibia,2001,5290.67525,,
New Caledonia,2001,,,
Niger,2001,820.955659,4.005514284,81.1192881
Nigeria,2001,2432.89682,18.87364621,35.1874696
Nicaragua,2001,2883.57233,5.986041863,48.4515362
Netherlands,2001,33180.1829,4.155841272,85.3530712
Norway,2001,37764.3084,3.00419704,84.3905529
Nepal,2001,1422.50872,2.688303735,57.2523323
Nauru,2001,,,
New Zealand,2001,22508.9367,2.625816304,79.0199669
OECD members,2001,25415.9201,3.189082681,
Oman,2001,43195.4577,-0.81666667,74.1570108
Other small states,2001,11732.7146,3.380184674,
Pakistan,2001,3047.3602,3.148261446,44.778412
Panama,2001,8430.61276,0.307062436,77.5677976
Peru,2001,5117.23054,1.977098785,80.726962
Philippines,2001,3543.7686,5.345501956,67.0539419
Palau,2001,10664.9049,,74.0722892
Papua New Guinea,2001,2078.20313,9.298173328,57.8244968
Poland,2001,11119.7151,5.408335456,80.1605156
Pre-demographic dividend,2001,2140.54122,5.077450455,
Puerto Rico,2001,24879.2176,,
"Korea, Dem. People's Rep.",2001,,,
Portugal,2001,19524.8867,4.369903306,81.964157
Paraguay,2001,6609.01167,7.268060286,50.7261452
West Bank and Gaza,2001,2514.87846,1.222784759,68.1896942
Pacific island small states,2001,3925.56456,4.055477442,
Post-demographic dividend,2001,27907.9767,2.656910939,
French Polynesia,2001,,,
Qatar,2001,98980.3585,1.471334348,61.77925
Romania,2001,6518.67529,34.47701235,43.0087367
Russian Federation,2001,7361.36377,21.47700721,37.3657852
Rwanda,2001,674.007306,3.342855067,48.2728589
South Asia,2001,2214.37814,3.148261446,
Saudi Arabia,2001,39219.0013,-1.12094477,75.8312224
Sudan,2001,2801.80347,1.935295721,36.5366144
Senegal,2001,2079.63568,2.974500839,83.2895185
Singapore,2001,43104.2827,0.997197956,86.0487388
Solomon Islands,2001,1494.6919,6.925837321,47.6935767
Sierra Leone,2001,639.270811,,
El Salvador,2001,4572.13509,3.750820575,74.0551449
San Marino,2001,55856.3925,,
Somalia,2001,,,
Serbia,2001,6481.99261,95.00522581,38.5285245
Sub-Saharan Africa (excluding high income),2001,2182.35748,5.077450455,
South Sudan,2001,,,
Sub-Saharan Africa,2001,2183.79425,5.147468002,
Small states,2001,10806.6298,3.380184674,
Sao Tome and Principe,2001,1840.79396,9.222037076,24.4103973
Suriname,2001,8029.01517,38.58628789,40.1420571
Slovak Republic,2001,12385.9884,7.329620191,70.1925827
Slovenia,2001,18948.2039,8.379665875,72.1105372
Sweden,2001,29927.5993,2.405958341,88.3008648
Eswatini,2001,4834.42465,5.942109823,53.3200808
Sint Maarten (Dutch part),2001,,,
Seychelles,2001,14232.8595,5.969622042,49.887489
Syrian Arab Republic,2001,,3,59.4381839
Turks and Caicos Islands,2001,,,
Chad,2001,840.665621,12.43128653,81.1404595
East Asia & Pacific (IDA & IBRD countries),2001,3611.27361,4.272670245,
Europe & Central Asia (IDA & IBRD countries),2001,7021.25423,7.857538522,
Togo,2001,974.082551,3.919591337,77.4144141
Thailand,2001,7644.6151,1.626908873,78.6108533
Tajikistan,2001,1154.63157,38.59188945,39.2890937
Turkmenistan,2001,4508.1553,,
Latin America & the Caribbean (IDA & IBRD countries),2001,8728.75535,5.536653263,
Timor-Leste,2001,1458.67556,,
Middle East & North Africa (IDA & IBRD countries),2001,7583.72449,2.269757205,
Tonga,2001,3846.68118,8.290283189,51.6531793
South Asia (IDA & IBRD),2001,2214.37814,3.148261446,
Sub-Saharan Africa (IDA & IBRD countries),2001,2183.79425,5.147468002,
Trinidad and Tobago,2001,15423.058,5.536653263,53.8792217
Tunisia,2001,6643.64889,1.983333333,75.4561294
Turkiye,2001,9280.2532,54.40018876,31.7984506
Tuvalu,2001,2623.50826,,
Tanzania,2001,1257.40979,5.147468002,54.3693639
Uganda,2001,1189.70233,1.865125241,54.7010006
Ukraine,2001,4789.68164,11.95880854,39.0119913
Upper middle income,2001,5430.02629,6.034819123,
Uruguay,2001,10054.2112,4.359340652,45.3660147
United States,2001,37133.6231,2.826171119,81.2025685
Uzbekistan,2001,2796.06294,,
St. Vincent and the Grenadines,2001,7119.19752,0.900858486,74.7716897
"Venezuela, RB",2001,12178.7882,,
British Virgin Islands,2001,,,
Virgin Islands (U.S.),2001,,,
Vietnam,2001,2712.15558,-0.43154451,47.8808858
Vanuatu,2001,2145.13739,3.577554521,77.834792
World,2001,8317.2239,3.838284639,
Samoa,2001,3560.16467,3.838284639,59.6177607
Kosovo,2001,,,
"Yemen, Rep.",2001,3049.48773,11.91159129,38.3176035
South Africa,2001,8796.41002,5.701900183,63.3161882
Zambia,2001,1723.67902,21.39378218,28.9260599
Zimbabwe,2001,2346.19815,,
Aruba,2002,30907.0074,3.315246786,76.5654404
Africa Eastern and Southern,2002,2291.27304,8.763753664,
Afghanistan,2002,876.327643,,
Africa Western and Central,2002,2297.08618,3.188693302,
Angola,2002,3765.60865,108.8974361,15.3481296
Albania,2002,4661.4027,7.770525834,82.3820912
Andorra,2002,,,
Arab World,2002,10209.2741,1.83299389,
United Arab Emirates,2002,95476.9263,,
Argentina,2002,10044.618,,
Armenia,2002,3461.27406,1.060049293,67.7561618
American Samoa,2002,,,
Antigua and Barbuda,2002,16354.9204,2.407658013,84.1995686
Australia,2002,28768.7286,2.981574539,79.9687825
Austria,2002,31178.6933,1.810357878,86.3258779
Azerbaijan,2002,4159.94056,2.77116472,50.9980539
Burundi,2002,554.510417,-1.36568005,45.2160656
Belgium,2002,30282.2886,1.645214362,84.8049594
Benin,2002,1893.51526,2.489162355,79.217514
Burkina Faso,2002,1004.64283,2.175694807,80.3781179
Bangladesh,2002,1452.12448,3.332564933,56.8238116
Bulgaria,2002,7786.44842,5.810143657,63.7304934
Bahrain,2002,41899.754,-0.49554014,82.0224442
"Bahamas, The",2002,29692.4305,2.173577925,83.4196336
Bosnia and Herzegovina,2002,5196.52976,,
Belarus,2002,6704.59228,42.53754813,36.8646752
Belize,2002,5989.86792,,
Bermuda,2002,58138.3998,,
Bolivia,2002,3578.01088,0.928258852,64.2165878
Brazil,2002,9560.57507,8.450164377,60.8675806
Barbados,2002,12880.37,0.125249458,69.1150752
Brunei Darussalam,2002,70662.4132,-2.31497242,93.3137383
Bhutan,2002,3226.98041,2.483430488,85.4483713
Botswana,2002,8997.89797,8.032796625,50.6919589
